#n-tries, n-nodes, t-simple, t-different, t-nonexistent
1000,1,3.548532009124756,3.5468170642852783,0.0021507740020751953
1000,2,6.022413492202759,6.089488983154297,0.0042858123779296875
1000,4,10.438527584075928,10.329521417617798,0.0023136138916015625
1000,6,15.214313983917236,15.145701885223389,0.014027118682861328
1000,8,19.249359846115112,19.098227500915527,0.014515399932861328
1000,10,24.314757823944092,26.985840320587158,0.024389266967773438
1000,10,25.155863285064697,26.130743980407715,0.022384166717529297
1000,12,31.389429092407227,31.194416046142578,0.02269911766052246
1000,13,36.91828680038452,35.866437673568726,0.020768165588378906
1000,15,39.81407690048218,40.34942436218262,0.004891633987426758
1000,16,44.06615686416626,43.23473286628723,0.032726287841796875
